premise,hypothesis,label,explanation_1,explanation_2,explanation_3,premise_highlighted_1,hypothesis_highlighted_1,premise_highlighted_2,hypothesis_highlighted_2,premise_highlighted_3,hypothesis_highlighted_3,premise_marked_1,hypothesis_marked_1,premise_marked_2,hypothesis_marked_2,premise_marked_3,hypothesis_marked_3,highlighted_premise_all,highlighted_hypothesis_all
An older caucasian couple is having their picture taken by a stone statue of a man and woman kissing.,The young couple are taking pictures of the countryside.,2,Older couple and young couple cannot be used to describe the same couple.,Answer: Either the couple is older or they are young couple.,young couple is not an older couple,,,,,,,An *older* *caucasian* *couple* is having their picture taken by a stone statue of a man and woman kissing.,The *young* *couple* are taking pictures of the countryside.,An *older* caucasian couple is having their picture taken by a stone statue of a man and woman kissing.,The *young* *couple* are taking pictures of the countryside.,An *older* caucasian *couple* is having their picture taken by a stone statue of a man and woman kissing.,The *young* *couple* are taking pictures of the countryside.,"caucasian,older,couple","young,couple"
The little boy is smiling as he crosses a rope on an assault course.,The girl tries on the blue dress at the store.,2,A girl is different than a boy.,"A child cannot be both a boy and a girl. Also, if the child is in a store then the child cannot be on an assault course.",a boy cannot be a girl at the same time.,,,,,,,The little *boy* is smiling as he crosses a rope on an assault course.,The *girl* tries on the blue dress at the store.,The little *boy* is smiling as he crosses a rope on an *assault* *course.*,The *girl* tries on the blue dress at the *store.*,The little *boy* is smiling as he crosses a rope on an assault course.,The *girl* tries on the blue dress at the store.,"assault,course,boy","girl,store"
A young boy is taking American flags to place them where they will remind others of the sacrifices made by veterans.,A girl is fighting a veteran.,2,A boy is not a girl and reminding others of veterans sacrifices is not fighting a veteran.,"A young boy is not a girl. If a person reminds other of the sacrifices made by veterans, then the person is not fighting a veteran.",girl is not a boy,,,,,,,A young *boy* is taking American flags to place them where they will *remind* *others* *of* *the* *sacrifices* *made* *by* *veterans.*,A *girl* is *fighting* *a* *veteran.*,A *young* *boy* is taking American flags to place them where they will *remind* *others* *of* *the* *sacrifices* *made* *by* *veterans.*,A *girl* is *fighting* *a* *veteran.*,A young *boy* is taking American flags to place them where they will remind others of the sacrifices made by veterans.,A *girl* is fighting a veteran.,"sacrifices,others,boy,by,young,remind,veterans,made,the,of","girl,fighting,a,veteran"
Man in traditional costume holding small guitar with a silver bike behind him.,A woman sits on the floor near a blue bike.,2,"Either a man or a woman, not both",A woman is not a man.,Either a man or a woman has a bike that is either silver or blue.,,,,,,,*Man* in traditional costume holding small guitar with a silver bike behind him.,A *woman* sits on the floor near a blue bike.,*Man* in traditional costume holding small guitar with a silver bike behind him.,A *woman* sits on the floor near a blue bike.,*Man* in traditional costume holding small guitar with a *silver* *bike* behind him.,A *woman* *sits* *on* *the* *floor* near a *blue* *bike.*,"silver,bike,Man","woman,blue,on,floor,sits,bike,the"
A little boy is sitting on a giraffe bouncy while learning.,The boy is standing.,2,A boy can't be sitting and standing at the same time.,The boy can't be sitting while standing.,A boy cannot be sitting and standing at the same time.,,,,,,,A little boy is *sitting* on a giraffe bouncy while learning.,The boy is *standing.*,A little boy is *sitting* on a giraffe bouncy while learning.,The boy is *standing.*,A little boy is *sitting* on a giraffe bouncy while learning.,The boy is *standing.*,sitting,standing
A dog with a ball in his mouth running down a road covered in leaves.,A cat running up a tree,2,There are two different animals (cat vs dog) doing two different actions (running up a tree vs down a road).,a cat and dog are two different animals,A dog is not a cat.,,,,,,,A *dog* with a ball in his mouth running *down* *a* *road* covered in leaves.,A *cat* running *up* *a* *tree*,A *dog* with a ball in his mouth running down a road covered in leaves.,A *cat* running up a tree,*A* *dog* with a ball in his mouth running down a road covered in leaves.,*A* *cat* running up a tree,"A,dog,road,a,down","A,tree,cat,up,a"
A man in a red delivery truck is talking to someone is a black coat.,A woman in a red delivery truck is talking to someone is a black coat.,2,Its either a man or woman.,It can't be a man and a woman.,It is either a man or a woman.,,,,,,,A *man* in a red delivery truck is talking to someone is a black coat.,A *woman* in a red delivery truck is talking to someone is a black coat.,A *man* in a red delivery truck is talking to someone is a black coat.,A *woman* in a red delivery truck is talking to someone is a black coat.,A *man* in a red delivery truck is talking to someone is a black coat.,A *woman* in a red delivery truck is talking to someone is a black coat.,man,woman
A boy lying on a hospital bed with his leg hanging over the side.,a little girl lays on a hospital bed,2,The subject is either a boy or a girl.,A boy is not a little girl.,A boy and girl are not the same thing.,,,,,,,A *boy* lying on a hospital bed with his leg hanging over the side.,a little *girl* lays on a hospital bed,A *boy* lying on a hospital bed with his leg hanging over the side.,a *little* *girl* lays on a hospital bed,A *boy* lying on a hospital bed with his leg hanging over the side.,a little *girl* lays on a hospital bed,boy,"girl,little"
A man and a woman jumping with a lake in the background.,There is a man and a woman.,0,Scentence two states that there is a man and a woman but doesn't state what they are doing as scentence one does,If a man and a woman are jumping then they must exist so there is a man and a woman.,There are some people jumping.,,,,,,, A *man* and a *woman* jumping with a lake in the background., There is a *man* and a *woman.*, A *man* *and* *a* *woman* jumping with a lake in the background., There is a *man* *and* *a* *woman.*, A man and a *woman* *jumping* with a *lake* in the background., *There* is a man and a *woman.*,"lake,woman,jumping,and,a,man","woman,There,and,a,man"
A man in khakis sitting at a table with a sign that reads 'poet for hire.',The gentleman is standing by the table.,2,A man with a sign hiring himself out as a poet wouldn't generally be described as a gentleman.,Sitting and standing are opposite actions.,The man is either sitting at a table or standing by the table.,,,,,,,A *man* in khakis sitting at a table *with* a *sign* that reads *'poet* for hire.',The *gentleman* is standing by the table.,A man in khakis *sitting* at a table with a sign that reads 'poet for hire.',The gentleman is *standing* by the table.,A man in khakis *sitting* *at* *a* *table* with a sign that reads 'poet for hire.',The gentleman is *standing* *by* *the* *table.*,"sitting,sign,with,at,table,a,'poet,man","by,standing,gentleman,table,the"
Two men wearing black smile while a seated woman behind them looks tired.,The woman looks like she's full of energy.,2,One is either tired or full of energy.,The first sentence is talking about two men and the second is about a woman,A woman cannot look tired and look like she's full of energy at the same time.,,,,,,,Two men wearing black smile while a seated woman behind them looks *tired.*,The woman looks like she's *full* of *energy.*,*Two* *men* wearing black smile while a seated woman behind them looks tired.,The *woman* looks like she's full of energy.,Two men wearing black smile while a seated woman behind them looks *tired.*,The woman looks like she's *full* *of* *energy.*,"tired,men,Two","full,of,energy,woman"
A man in a yellow shirt and helmet mountain biking down a dusty path.,A woman is jogging down a road.,2,A man can not also be a woman,Biking and jogging cannot be done simultaneously.,a man is not a women,,,,,,,*A* *man* in a yellow shirt and helmet mountain biking down a dusty path.,*A* *woman* is jogging down a road.,A man in a yellow shirt and helmet mountain *biking* down a dusty path.,A woman is *jogging* down a road.,A *man* in a yellow shirt and helmet mountain biking down a dusty path.,A *woman* is jogging down a road.,"A,biking,man","A,jogging,woman"
Two men outside of a restaurant.,Two men are eating inside a restaurant.,2,The men cannot simultaneously be inside and outside the restaurant,The two men are either outside of a restaurant or eating inside a restaurant.,Two men are either outside of a restaurant or inside it.,,,,,,,Two men *outside* of a restaurant.,Two men are eating *inside* a restaurant.,Two men *outside* *of* *a* *restaurant.*,Two men are *eating* *inside* *a* *restaurant.*,*Two* *men* *outside* *of* a *restaurant.*,*Two* *men* *are* *eating* *inside* a *restaurant.*,"restaurant,men,a,outside,Two,of","are,eating,restaurant,inside,men,a,Two"
A woman happy about something.,A man is yelling at his wife.,2,Man and woman are different people. Happy people don't yell.,The man yelling usually doesn’t make women happy,The subject cannot be a woman happy and a man yelling simultaneously.,,,,,,,A *woman* *happy* about something.,A *man* is *yelling* at his wife.,A woman *happy* about something.,*A* *man* *is* *yelling* at his wife.,A *woman* *happy* about something.,A *man* is *yelling* at his wife.,"happy,woman","is,A,man,yelling"
